Período,Fecha de nacimiento,Sexo,NivelFormativo,Discapacidad,Inmigrante,Perceptor,DificilInsercion,Tipo acción,Colocacion,FechaColocacion,FechaFinContrato,TipoContrato,,
10/21,01/07/1977,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,22/12/1974,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,14/02/1982,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,21/06/1999,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,12/06/1964,Hombre,Estudios secundarios,N,N,S,S,Alta,N,,,,,
10/21,25/04/1980,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,26/05/1992,Mujer,Estudios post-secundarios,N,S,N,S,Alta,N,,,,,
10/21,03/03/1973,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,14/10/1993,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,19/10/1976,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
10/21,19/10/1976,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
10/21,26/08/1984,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,26/08/1984,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,27/05/1975,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,27/06/2002,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/03/1977,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,22/04/1981,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,30/01/1970,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,04/11/1980,Mujer,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
10/21,08/09/1966,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,26/02/1966,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,11/09/1976,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,01/09/1998,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,31/07/1991,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,31/08/1989,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,07/05/2000,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,11/01/1972,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,29/11/1979,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,11/07/1977,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,29/01/1987,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,19/05/1978,Hombre,Estudios post-secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,07/09/1993,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,04/05/1979,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/04/1968,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,23/02/1971,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,31/10/1994,Hombre,Estudios post-secundarios,N,S,N,S,Intento colocación,N,,,,,
10/21,05/11/1996,Hombre,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
10/21,11/07/1990,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,24/09/1988,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,31/01/1998,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/09/1969,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,04/11/1958,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,25/06/1994,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,12/06/1977,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,17/11/1984,Mujer,Estudios post-secundarios,N,S,N,S,Intento colocación,N,,,,,
10/21,09/03/1968,Hombre,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
10/21,04/10/1962,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/05/1982,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,07/05/1963,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,03/02/1963,Hombre,Estudios secundarios,N,N,N,S,Colocación,S,,,,,
10/21,03/02/1963,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,16/05/1977,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,09/06/1975,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,18/01/1985,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,25/05/1971,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,13/06/2002,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,18/12/1978,Mujer,Estudios post-secundarios,N,S,N,S,Intento colocación,N,,,,,
10/21,31/01/1979,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,01/03/1992,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,04/01/1992,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,10/11/1990,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,14/01/1979,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,05/09/1975,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,16/01/1981,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,12/09/1974,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,26/08/1967,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,25/11/1976,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,24/06/1995,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
10/21,24/06/1995,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
10/21,28/07/1980,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,05/09/1961,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,18/07/1997,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,10/03/1989,Hombre,Estudios secundarios,N,S,S,S,Intento colocación,N,,,,,
10/21,07/07/1984,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,19/01/1988,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,07/10/1977,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,16/03/1982,Hombre,Sin estudios,N,N,N,N,Intento colocación,N,,,,,
10/21,30/01/1972,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,17/10/1971,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,02/01/1995,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,11/01/1973,Hombre,Estudios secundarios,N,S,S,S,Intento colocación,N,,,,,
10/21,02/04/1962,Mujer,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
10/21,02/09/1984,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,01/03/1979,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
10/21,25/02/1968,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,17/02/1974,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/06/1985,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,03/10/1976,Mujer,Estudios primarios,N,N,S,S,Intento colocación,N,,,,,
10/21,04/04/1974,Mujer,Estudios primarios,N,N,S,S,Intento colocación,N,,,,,
10/21,20/07/1981,Mujer,Estudios secundarios,N,S,S,S,Intento colocación,N,,,,,
10/21,30/08/1963,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,31/12/1980,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,19/08/1980,Mujer,Estudios secundarios,N,S,S,S,Intento colocación,N,,,,,
10/21,28/09/1962,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
10/21,10/10/1993,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,07/02/1967,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,07/01/1982,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,14/08/1965,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,26/03/1966,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,14/04/1980,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,31/01/1983,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,03/11/1996,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,16/01/1995,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,06/12/1972,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,01/03/1964,Hombre,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
10/21,28/03/1963,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,17/05/1983,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,27/07/1968,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
10/21,09/04/1997,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,24/10/1981,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,28/08/1979,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,16/11/1995,Hombre,Estudios primarios,N,N,S,S,Intento colocación,N,,,,,
10/21,31/12/1968,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,04/01/1981,Hombre,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
10/21,22/08/1974,Mujer,Estudios primarios,N,S,N,S,Intento colocación,N,,,,,
10/21,31/08/1977,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,19/01/1979,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,21/09/1977,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,29/11/1958,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,19/07/1999,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,12/11/1966,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,14/11/1969,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,11/03/1967,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,26/12/1973,Hombre,Estudios primarios,N,N,S,S,Intento colocación,N,,,,,
10/21,06/06/1968,Hombre,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
10/21,04/01/1995,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,17/05/1980,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,15/01/1978,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,23/08/1970,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,22/10/1976,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,16/11/1960,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,24/05/1976,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,04/08/1993,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/02/1981,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,23/09/1965,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,05/09/1958,Hombre,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
10/21,07/10/1983,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,14/08/1976,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,07/09/1980,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,10/07/1974,Mujer,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
10/21,12/06/1979,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,04/09/1998,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,22/05/1984,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,23/07/1983,Hombre,Estudios secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,02/09/1983,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,09/08/1968,Mujer,Estudios secundarios,S,N,S,S,Intento colocación,N,,,,,
10/21,09/12/1999,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,22/03/1978,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,17/07/1987,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,25/05/1978,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
10/21,18/05/1970,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,05/05/1979,Hombre,Sin estudios,N,S,N,S,Intento colocación,N,,,,,
10/21,11/07/1974,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,17/01/1958,Hombre,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,30/06/1979,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
10/21,23/01/1978,Hombre,Estudios post-secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,04/06/1968,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,29/08/1971,Mujer,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/07/1988,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,12/05/1975,Hombre,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
10/21,11/09/1970,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,21/08/1998,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,10/07/1999,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,06/01/1973,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,22/06/1982,Mujer,Estudios primarios,N,N,N,S,Intento colocación,N,,,,,
10/21,21/07/1992,Hombre,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
10/21,09/11/1977,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,20/01/1998,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,04/07/1994,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,01/10/1974,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,07/07/1984,Hombre,Estudios primarios,S,N,N,S,Colocación,S,,,,,
10/21,07/07/1984,Hombre,Estudios primarios,S,N,N,S,Intento colocación,N,,,,,
10/21,22/07/1977,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,08/08/1974,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,11/07/1987,Mujer,Estudios post-secundarios,S,N,N,S,Alta,N,,,,,
10/21,11/07/1987,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
10/21,21/12/1985,Hombre,Estudios post-secundarios,N,N,S,N,Alta,N,,,,,
10/21,08/08/1997,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,16/08/1992,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,26/04/1982,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,27/05/1990,Mujer,Estudios secundarios,N,N,N,S,Colocación,S,,,,,
10/21,27/05/1990,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,27/06/1999,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,30/06/1990,Mujer,Estudios secundarios,S,N,N,S,Intento colocación,N,,,,,
10/21,20/01/1980,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,20/01/1980,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/10/1963,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,03/08/1998,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,05/04/1967,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,05/04/1967,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,18/04/1971,Mujer,Estudios post-secundarios,S,N,N,S,Alta,N,,,,,
10/21,01/09/1964,Hombre,Estudios primarios,N,N,S,S,Alta,N,,,,,
10/21,28/01/1977,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,26/05/1972,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,26/05/1972,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,15/04/1977,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,15/04/1977,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,18/10/1997,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,18/10/1997,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,17/04/1980,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
10/21,02/01/2002,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,18/05/1996,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,18/05/1996,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,22/12/1992,Hombre,Estudios post-secundarios,N,S,N,S,Alta,N,,,,,
10/21,20/11/1981,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,09/03/1991,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
10/21,09/03/1991,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,11/05/1974,Hombre,Estudios primarios,N,N,N,S,Alta,N,,,,,
10/21,22/03/1983,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,22/03/1983,Mujer,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,26/06/1973,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
10/21,26/06/1973,Mujer,Estudios secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,27/08/1976,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,23/12/1971,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,04/01/1995,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,04/01/1995,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,09/06/1984,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
10/21,09/06/1984,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,29/08/1998,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,05/03/1998,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,07/05/1983,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,15/09/1994,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,25/09/1980,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,25/09/1980,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,07/08/1972,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,16/05/1977,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,30/06/1993,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,28/02/1982,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,25/07/1973,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,06/11/1973,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,06/11/1973,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,14/05/1985,Hombre,Estudios secundarios,N,N,S,N,Alta,N,,,,,
10/21,14/05/1985,Hombre,Estudios secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,06/03/1982,Hombre,Estudios post-secundarios,N,N,S,N,Alta,N,,,,,
10/21,06/03/1982,Hombre,Estudios post-secundarios,N,N,S,N,Intento colocación,N,,,,,
10/21,31/12/1993,Hombre,Estudios primarios,N,S,N,S,Alta,N,,,,,
10/21,09/12/1998,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,26/09/1986,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
10/21,11/03/1987,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,25/09/1983,Hombre,Estudios post-secundarios,N,S,N,S,Alta,N,,,,,
10/21,23/07/1973,Mujer,Estudios secundarios,N,N,S,S,Alta,N,,,,,
10/21,06/03/1978,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,01/01/1995,Hombre,Sin estudios,N,S,N,S,Alta,N,,,,,
10/21,01/01/1995,Hombre,Sin estudios,N,S,N,S,Intento colocación,N,,,,,
10/21,26/07/1982,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
10/21,26/07/1982,Mujer,Estudios secundarios,N,S,N,S,Intento colocación,N,,,,,
10/21,13/08/1977,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,03/05/1978,Mujer,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,21/07/1960,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,09/06/1999,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,09/06/1999,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,22/02/1999,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,08/04/1980,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,22/02/2002,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,22/02/2002,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,15/02/1995,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,07/05/1997,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,07/05/1997,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,24/10/1973,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
10/21,01/03/1989,Hombre,Sin estudios,N,S,N,S,Alta,N,,,,,
10/21,16/05/1999,Hombre,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,16/05/1999,Hombre,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,08/07/1987,Mujer,Estudios post-secundarios,N,S,N,S,Alta,N,,,,,
10/21,31/03/1989,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
10/21,31/12/1998,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,20/09/1969,Mujer,Estudios post-secundarios,S,N,N,S,Alta,N,,,,,
10/21,20/09/1969,Mujer,Estudios post-secundarios,S,N,N,S,Intento colocación,N,,,,,
10/21,20/06/1982,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,20/06/1982,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,27/10/2000,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,27/10/2000,Mujer,Estudios secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,06/01/1980,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,06/01/1980,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,10/08/2000,Hombre,Estudios primarios,N,S,N,S,Alta,N,,,,,
10/21,10/08/2000,Hombre,Estudios primarios,N,S,N,S,Intento colocación,N,,,,,
10/21,24/07/1997,Hombre,Estudios primarios,N,S,N,S,Alta,N,,,,,
10/21,20/10/1968,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,04/02/1999,Hombre,Estudios post-secundarios,N,N,S,S,Alta,N,,,,,
10/21,04/02/1999,Hombre,Estudios post-secundarios,N,N,S,S,Intento colocación,N,,,,,
10/21,09/02/1992,Hombre,Sin estudios,N,S,N,S,Alta,N,,,,,
10/21,26/12/1986,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,09/12/2001,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,27/09/1990,Hombre,Estudios post-secundarios,N,N,N,N,Alta,N,,,,,
10/21,27/09/1990,Hombre,Estudios post-secundarios,N,N,N,N,Intento colocación,N,,,,,
10/21,14/07/2000,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,14/07/2000,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,17/03/1992,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,17/03/1992,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,06/11/1966,Mujer,Estudios secundarios,N,S,N,S,Alta,N,,,,,
10/21,28/07/2003,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
10/21,16/07/1991,Hombre,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,16/07/1991,Hombre,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,25/10/1996,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,25/10/1996,Mujer,Estudios post-secundarios,N,N,N,S,Intento colocación,N,,,,,
10/21,10/03/1985,Mujer,Estudios post-secundarios,N,N,N,S,Alta,N,,,,,
10/21,14/10/1988,Mujer,Estudios secundarios,N,N,N,S,Alta,N,,,,,
